"","pokemon","id","first_type","second_type","base_HP","base_Attack","base_Defense","base_SpecialAttack","base_SpecialDefense","base_Speed","first_ability","second_ability","third_ability","description","gender_differences","gender_rate","is_baby","evolves_from_species_id","hatch_counter","forms_switchable"
"724","torkoal",324,"fire","None",70,85,140,85,70,20,"white-smoke","shell-armor","","Torkoal generates energy by burning coal. It grows weaker as the fire dies down. When it is preparing for battle, this Pokémon burns more coal.",0,4,0,NA,20,0
"675","spoink",325,"psychic","None",60,25,35,70,80,60,"thick-fat","own-tempo","gluttony","Spoink keeps a pearl on top of its head. The pearl functions to amplify this Pokémon’s psychokinetic powers. It is therefore on a constant search for a bigger pearl.",0,4,0,NA,20,0
"295","grumpig",326,"psychic","None",80,45,65,90,110,80,"thick-fat","own-tempo","gluttony","Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This Pokémon’s black pearls are valuable as works of art.",0,4,0,325,20,0
"673","spinda",327,"normal","None",60,60,60,60,60,60,"own-tempo","tangled-feet","contrary","No two Spinda are said to have identical spot patterns on their hides. This Pokémon moves in a curious manner as if it is stumbling in dizziness. Its lurching movements can cause the opponent to become confused.",0,4,0,NA,15,0
"731","trapinch",328,"ground","None",45,100,45,45,45,10,"hyper-cutter","arena-trap","sheer-force","Trapinch is a patient hunter. It digs an inescapable pit in a desert and waits for its prey to come tumbling down. This Pokémon can go a whole week without access to any water.",0,4,0,NA,20,0
"760","vibrava",329,"ground","dragon",50,70,50,50,50,70,"levitate","","","Vibrava’s wings have not yet completed the process of growing. Rather than flying long distances, they are more useful for generating ultrasonic waves by vibrating.",0,4,0,328,20,0
"232","flygon",330,"ground","dragon",80,100,80,80,80,100,"levitate","","","Flygon whips up a sandstorm by flapping its wings. The wings create a series of notes that sound like singing. Because the “singing” is the only thing that can be heard in a sandstorm, this Pokémon is said to be the desert spirit.",0,4,0,329,20,0
"87","cacnea",331,"grass","None",50,85,40,85,40,35,"sand-veil","water-absorb","","The more arid and harsh the environment, the more pretty and fragrant a flower Cacnea grows. This Pokémon battles by wildly swinging its thorny arms.",0,4,0,NA,20,0
"88","cacturne",332,"grass","dark",70,115,60,115,60,55,"sand-veil","water-absorb","","If a traveler is going through a desert in the thick of night, Cacturne will follow in a ragtag group. The Pokémon are biding their time, waiting for the traveler to tire and become incapable of moving.",1,4,0,331,20,0
"694","swablu",333,"normal","flying",45,40,60,40,75,50,"natural-cure","cloud-nine","","Swablu loves to make things clean. If it spots something dirty, it will wipe and polish it with its cottony wings. If its wings become dirty, this Pokémon finds a stream and showers itself.",0,4,0,NA,20,0
"17","altaria",334,"dragon","flying",75,70,90,70,105,80,"natural-cure","cloud-nine","","Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.",0,4,0,333,20,1
"802","zangoose",335,"normal","None",73,115,60,60,60,90,"immunity","toxic-boost","","Zangoose usually stays on all fours, but when angered, it gets up on its hind legs and extends its claws. This Pokémon shares a bitter rivalry with Seviper that dates back over generations.",0,4,0,NA,20,0
"621","seviper",336,"poison","None",73,100,60,100,60,65,"shed-skin","infiltrator","","Seviper’s swordlike tail serves two purposes—it slashes foes and douses them with secreted poison. This Pokémon will not give up its long-running blood feud with Zangoose.",0,4,0,NA,20,0
"406","lunatone",337,"rock","psychic",70,55,65,95,85,70,"levitate","","","Lunatone becomes active around the time of the full moon. Instead of walking, it moves by floating in midair. The Pokémon’s intimidating red eyes cause all those who see it to become transfixed with fear.",0,-1,0,NA,25,0
"668","solrock",338,"rock","psychic",70,95,85,55,65,70,"levitate","","","Sunlight is the source of Solrock’s power. It is said to possess the ability to read the emotions of others. This Pokémon gives off intense heat while rotating its body.",0,-1,0,NA,25,0
"48","barboach",339,"water","ground",50,48,43,46,41,60,"oblivious","anticipation","hydration","Barboach’s body is covered with a slimy film. If a foe grabs it, this Pokémon just slips out of the enemy’s grip. This Pokémon grows weak if the slimy coating dries up.",0,4,0,NA,20,0
"784","whiscash",340,"water","ground",110,78,73,76,71,60,"oblivious","anticipation","hydration","If Whiscash goes on a wild rampage, it sets off a quake-like tremor with a radius of over three miles. This Pokémon has the ability to predict real earthquakes.",0,4,0,339,20,0
"133","corphish",341,"water","None",43,80,65,50,35,35,"hyper-cutter","shell-armor","adaptability","Corphish catches prey with its sharp claws. It has no likes or dislikes when it comes to food—it will eat anything. This Pokémon has no trouble living in filthy water.",0,4,0,NA,15,0
"138","crawdaunt",342,"water","dark",63,120,85,90,55,55,"hyper-cutter","shell-armor","adaptability","Crawdaunt molts (sheds) its shell regularly. Immediately after molting, its shell is soft and tender. Until the shell hardens, this Pokémon hides in its streambed burrow to avoid attack from its foes.",0,4,0,341,15,0
"44","baltoy",343,"ground","psychic",40,40,55,40,70,55,"levitate","","","As soon as it spots others of its kind, Baltoy congregates with them and then begins crying noisily in unison. This Pokémon sleeps while cleverly balancing itself on its one foot.",0,-1,0,NA,20,0
"123","claydol",344,"ground","psychic",60,70,105,70,120,75,"levitate","","","Claydol is an enigma that appeared from a clay statue made by an ancient civilization dating back 20,000 years. This Pokémon shoots beams from both its hands.",0,-1,0,343,20,0
"390","lileep",345,"rock","grass",66,41,77,61,87,23,"suction-cups","storm-drain","","Lileep is an ancient Pokémon that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch, this Pokémon intently scans for prey with its two eyes.",0,1,0,NA,30,0
"136","cradily",346,"rock","grass",86,81,97,81,107,43,"suction-cups","storm-drain","","Cradily’s body serves as an anchor, preventing it from being washed away in rough seas. This Pokémon secretes a strong digestive fluid from its tentacles.",0,1,0,345,30,0
"24","anorith",347,"rock","bug",45,95,50,40,50,75,"battle-armor","swift-swim","","Anorith is said to be a type of Pokémon predecessor, with eight wings at the sides of its body. This Pokémon swam in the primordial sea by undulating these eight wings.",0,1,0,NA,30,0
"31","armaldo",348,"rock","bug",75,125,100,70,80,45,"battle-armor","swift-swim","","Armaldo is a Pokémon species that became extinct in prehistoric times. This Pokémon is said to have walked on its hind legs, which would have been more convenient for life on land.",0,1,0,347,30,0
"217","feebas",349,"water","None",20,15,20,10,55,80,"swift-swim","oblivious","adaptability","While Feebas’s body is in tatters, it has a hardy and tenacious life force that enables it to live anywhere. However, this Pokémon is also slow and dimwitted, making it an easy catch.",0,4,0,NA,20,0
"460","milotic",350,"water","None",95,60,79,100,125,81,"marvel-scale","competitive","cute-charm","Milotic live at the bottom of large lakes. When this Pokémon’s body glows a vivid pink, it releases a pulsing wave of energy that brings soothing calm to troubled hearts.",1,4,0,349,20,0
"96","castform",351,"normal","None",70,70,70,70,70,70,"forecast","","","Castform borrows the power of nature to transform itself into the guises of the sun, rain, and snow-clouds. This Pokémon’s feelings change with the weather.",0,4,0,NA,25,1
"350","kecleon",352,"normal","None",60,90,70,60,120,40,"color-change","protean","","Kecleon alters its body coloration to blend in with its surroundings, allowing it to sneak up on its prey unnoticed. Then it lashes out with its long, stretchy tongue to instantly ensnare the unsuspecting target.",0,4,0,NA,20,0
"637","shuppet",353,"ghost","None",44,75,35,63,33,45,"insomnia","frisk","cursed-body","Shuppet grows by feeding on dark emotions, such as vengefulness and envy, in the hearts of people. It roams through cities in search of grudges that taint people.",0,4,0,NA,25,0
"45","banette",354,"ghost","None",64,115,65,83,63,65,"insomnia","frisk","cursed-body","A cursed energy permeated the stuffing of a discarded and forgotten plush doll, giving it new life as Banette. The Pokémon’s energy would escape if it were to ever open its mouth.",0,4,0,353,25,1
"191","duskull",355,"ghost","None",20,40,90,30,90,25,"levitate","frisk","","Duskull wanders lost among the deep darkness of midnight. There is an oft-told admonishment given to misbehaving children that this Pokémon will spirit away bad children who earn scoldings from their mothers.",0,4,0,NA,25,0
"189","dusclops",356,"ghost","None",40,70,130,60,130,25,"pressure","frisk","","Dusclops absorbs anything, however large the object may be. This Pokémon hypnotizes its foe by waving its hands in a macabre manner and by bringing its single eye to bear. The hypnotized foe is made to do Dusclops’s bidding.",0,4,0,355,25,0
"734","tropius",357,"grass","flying",99,68,83,72,87,51,"chlorophyll","solar-power","harvest","Children of the southern tropics eat as snacks the fruit that grows in bunches around the neck of Tropius. This Pokémon flies by flapping the leaves on its back as if they were wings.",0,4,0,NA,25,0
"116","chimecho",358,"psychic","None",65,50,70,95,80,65,"levitate","","","In high winds, Chimecho cries as it hangs from a tree branch or the eaves of a building using a suction cup on its head. This Pokémon plucks berries with its long tail and eats them.",0,4,0,433,25,0
"4","absol",359,"dark","None",65,130,60,75,60,75,"pressure","super-luck","justified","Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pokémon very rarely ventures down from the mountains.",0,4,0,NA,25,1
"795","wynaut",360,"psychic","None",95,23,48,23,48,23,"shadow-tag","telepathy","","Wynaut gather on moonlit nights to play by squeezing up against each other. By being squeezed, this Pokémon gains endurance and is trained to dole out powerful counterattacks.",0,4,1,NA,20,0
"664","snorunt",361,"ice","None",50,50,50,50,50,50,"inner-focus","ice-body","moody","Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pokémon is sure to prosper for many generations to come.",0,4,0,NA,20,0
"263","glalie",362,"ice","None",80,80,80,80,80,80,"inner-focus","ice-body","moody","Glalie has the ability to freely control ice. For example, it can instantly freeze its prey solid. After immobilizing its prey in ice, this Pokémon enjoys eating it in leisurely fashion.",0,4,0,361,20,1
"671","spheal",363,"ice","water",70,40,50,55,50,25,"thick-fat","ice-body","oblivious","Spheal always travels by rolling around on its ball-like body. When the season for ice floes arrives, this Pokémon can be seen rolling about on ice and crossing the sea.",0,4,0,NA,20,0
"614","sealeo",364,"ice","water",90,60,70,75,70,45,"thick-fat","ice-body","oblivious","Sealeo often balances and rolls things on the tip of its nose. While the Pokémon is rolling something, it checks the object’s aroma and texture to determine whether it likes the object or not.",0,4,0,363,20,0
"775","walrein",365,"ice","water",110,80,90,95,90,65,"thick-fat","ice-body","oblivious","Walrein swims all over in frigid seawater while crushing icebergs with its grand, imposing tusks. Its thick layer of blubber makes enemy attacks bounce off harmlessly.",0,4,0,364,20,0
"120","clamperl",366,"water","None",35,64,85,74,55,32,"shell-armor","rattled","","Clamperl grows while being protected by its rock-hard shell. When its body becomes too large to fit inside the shell, it is sure evidence that this Pokémon is getting close to evolution.",0,4,0,NA,20,0
"328","huntail",367,"water","None",55,104,105,94,75,52,"swift-swim","water-veil","","Huntail’s tail is shaped like a fish. It uses the tail to attract prey, then swallows the prey whole with its large, gaping mouth. This Pokémon swims by wiggling its slender body like a snake.",0,4,0,366,20,0
"278","gorebyss",368,"water","None",55,84,105,114,75,52,"swift-swim","hydration","","Although Gorebyss is the very picture of elegance and beauty while swimming, it is also cruel. When it spots prey, this Pokémon inserts its thin mouth into the prey’s body and drains the prey of its body fluids.",0,4,0,366,20,0
"575","relicanth",369,"water","rock",100,90,130,45,65,55,"swift-swim","rock-head","sturdy","Relicanth is a rare species that was discovered in deep-sea explorations. This Pokémon’s body withstands the enormous water pressure of the ocean depths. Its body is covered in tough scales that are like craggy rocks.",1,1,0,NA,40,0
"407","luvdisc",370,"water","None",43,30,55,40,65,97,"swift-swim","hydration","","Luvdisc’s heart-shaped body is a symbol of love and romance. It is said that any couple meeting this Pokémon is promised a loving relationship that never ends.",0,6,0,NA,20,0
"43","bagon",371,"dragon","None",45,75,60,40,30,50,"rock-head","sheer-force","","Bagon harbors a never-ending dream of one day soaring high among the clouds. As if trying to dispel its frustration over its inability to fly, this Pokémon slams its hard head against huge rocks and shatters them into pebbles.",0,4,0,NA,40,0
"628","shelgon",372,"dragon","None",65,95,100,60,50,50,"rock-head","overcoat","","Covering Shelgon’s body are outgrowths much like bones. The shell is very hard and bounces off enemy attacks. When awaiting evolution, this Pokémon hides away in a cavern.",0,4,0,371,40,0
"595","salamence",373,"dragon","flying",95,135,80,110,80,100,"intimidate","moxie","","By evolving into Salamence, this Pokémon finally realizes its long-held dream of growing wings. To express its joy, it flies and wheels all over the sky while spouting flames from its mouth.",0,4,0,372,40,1
"58","beldum",374,"steel","psychic",40,55,80,35,60,30,"clear-body","light-metal","","Beldum keeps itself floating by generating a magnetic force that repels earth’s natural magnetism. When it sleeps, this Pokémon anchors itself to a cliff using the hooks on its rear.",0,-1,0,NA,40,0
"451","metang",375,"steel","psychic",60,75,100,55,80,50,"clear-body","light-metal","","When two Beldum fuse together, Metang is formed. The brains of the Beldum are joined by a magnetic nervous system. This Pokémon turns its arms to the rear for traveling at high speed.",0,-1,0,374,40,0
"449","metagross",376,"steel","psychic",80,135,130,95,90,70,"clear-body","light-metal","","Metagross is the result of two Metang achieving fusion. When hunting, this Pokémon pins the prey to the ground under its massive body. It then eats the helpless victim using the large mouth on its stomach.",0,-1,0,375,40,1
"573","regirock",377,"rock","None",80,100,200,50,100,50,"clear-body","sturdy","","Regirock’s body is composed entirely of rocks. Recently, a study made the startling discovery that the rocks were all unearthed from different locations.",0,-1,0,NA,80,0
"571","regice",378,"ice","None",80,50,100,100,200,50,"clear-body","ice-body","","Regice cloaks itself with frigid air of -328 degrees Fahrenheit. Things will freeze solid just by going near this Pokémon. Its icy body is so cold, it will not melt even if it is immersed in magma.",0,-1,0,NA,80,0
"574","registeel",379,"steel","None",80,75,150,75,150,50,"clear-body","light-metal","","Registeel was imprisoned by people in ancient times. The metal composing its body is thought to be a curious substance that is not of this earth.",0,-1,0,NA,80,0
"379","latias",380,"dragon","psychic",80,80,90,110,130,110,"levitate","","","Latias is highly intelligent and capable of understanding human speech. It is covered with a glass-like down. The Pokémon enfolds its body with its down and refracts light to alter its appearance.",0,8,0,NA,120,1
"381","latios",381,"dragon","psychic",80,90,80,130,110,110,"levitate","","","Latios will only open its heart to a Trainer with a compassionate spirit. This Pokémon can fly faster than a jet plane by folding its forelegs to minimize air resistance.",0,0,0,NA,120,1
"366","kyogre",382,"water","None",100,100,90,150,140,90,"drizzle","","","Kyogre is said to be the personification of the sea itself. Legends tell of its many clashes against Groudon, as each sought to gain the power of nature.",0,-1,0,NA,120,1
"291","groudon",383,"ground","None",100,150,140,100,90,90,"drought","","","Through Primal Reversion and with nature’s full power, it will take back its true form. It can cause magma to erupt and expand the landmass of the world.",0,-1,0,NA,120,1
"569","rayquaza",384,"dragon","flying",105,150,90,150,90,95,"air-lock","","","It flies forever through the ozone layer, consuming meteoroids for sustenance. The many meteoroids in its body provide the energy it needs to Mega Evolve.",0,-1,0,NA,120,1
"338","jirachi",385,"steel","psychic",100,100,100,100,100,100,"serene-grace","","","Jirachi will awaken from its sleep of a thousand years if you sing to it in a voice of purity. It is said to make true any wish that people desire.",0,-1,0,NA,120,0
"160","deoxys-normal",386,"psychic","None",50,150,50,150,50,150,"pressure","","","",NA,NA,NA,NA,NA,NA
"736","turtwig",387,"grass","None",55,68,64,45,55,31,"overgrow","shell-armor","","It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.",0,1,0,NA,20,0
"290","grotle",388,"grass","None",75,89,85,55,65,36,"overgrow","shell-armor","","It knows where pure water wells up. It carries fellow Pokémon there on its back.",0,1,0,387,20,0
"727","torterra",389,"grass","ground",95,109,105,75,85,56,"overgrow","shell-armor","","Small Pokémon occasionally gather on its unmoving back to begin building their nests.",0,1,0,388,20,0
"115","chimchar",390,"fire","None",44,58,44,58,44,61,"blaze","iron-fist","","The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.",0,1,0,NA,20,0
"468","monferno",391,"fire","fighting",64,78,52,78,52,81,"blaze","iron-fist","","It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one weapon.",0,1,0,390,20,0
"333","infernape",392,"fire","fighting",76,104,71,104,71,108,"blaze","iron-fist","","It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.",0,1,0,391,20,0
"535","piplup",393,"water","None",53,51,53,61,56,40,"torrent","defiant","","Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",0,1,0,NA,20,0
"547","prinplup",394,"water","None",64,66,68,81,76,50,"torrent","defiant","","It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.",0,1,0,393,20,0
"206","empoleon",395,"water","steel",84,86,88,111,101,60,"torrent","defiant","","The three horns that extend from its beak attest to its power. The leader has the biggest horns.",0,1,0,394,20,0
"681","starly",396,"normal","flying",40,55,30,30,30,60,"keen-eye","reckless","","They flock around mountains and fields, chasing after bug Pokémon. Their singing is noisy and annoying.",1,4,0,NA,15,0
"680","staravia",397,"normal","flying",55,75,50,40,40,80,"intimidate","reckless","","It lives in forests and fields. Squabbles over territory occur when flocks collide.",1,4,0,396,15,0
"679","staraptor",398,"normal","flying",85,120,70,50,60,100,"intimidate","reckless","","When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings.",1,4,0,397,15,0
"63","bidoof",399,"normal","None",59,45,40,35,40,31,"simple","unaware","moody","It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.",1,4,0,NA,15,0
"62","bibarel",400,"normal","water",79,85,60,55,60,71,"simple","unaware","moody","It makes its nest by damming streams with bark and mud. It is known as an industrious worker.",1,4,0,399,15,0
"362","kricketot",401,"bug","None",37,25,41,25,41,25,"shed-skin","run-away","","When its antennae hit each other, it sounds like the music of a xylophone.",1,4,0,NA,15,0
"363","kricketune",402,"bug","None",77,85,51,55,51,65,"swarm","technician","","It signals its emotions with its melodies. Scientists are studying these melodic patterns.",1,4,0,401,15,0
"634","shinx",403,"electric","None",45,65,34,40,34,45,"rivalry","intimidate","guts","All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.",1,4,0,NA,20,0
"408","luxio",404,"electric","None",60,85,49,60,49,60,"rivalry","intimidate","guts","Strong electricity courses through the tips of its sharp claws. A light scratch causes fainting in foes.",1,4,0,403,20,0
"409","luxray",405,"electric","None",80,120,79,95,79,70,"rivalry","intimidate","guts","Luxray’s ability to see through objects comes in handy when it’s scouting for danger.",1,4,0,404,20,0
"80","budew",406,"grass","poison",40,30,35,50,70,55,"natural-cure","poison-point","leaf-guard","Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.",0,4,1,NA,20,0
"585","roserade",407,"grass","poison",60,70,65,125,105,90,"natural-cure","poison-point","technician","With the movements of a dancer, it strikes with whips that are densely lined with poison thorns.",1,4,0,315,20,0
"137","cranidos",408,"rock","None",67,125,40,30,30,58,"mold-breaker","sheer-force","","A lifelong jungle dweller from 100 million years ago, it would snap obstructing trees with headbutts.",0,1,0,NA,30,0
"565","rampardos",409,"rock","None",97,165,60,65,50,58,"mold-breaker","sheer-force","","Its skull is as hard as iron. It is a brute that tears down jungle trees while catching prey.",0,1,0,408,30,0
"632","shieldon",410,"rock","steel",30,42,118,42,88,30,"sturdy","soundproof","","It was generated from a fossil dug out of a layer of clay that was older than anyone knows. It has a sturdy face.",0,1,0,NA,30,0
"51","bastiodon",411,"rock","steel",60,52,168,47,138,30,"sturdy","soundproof","","Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.",0,1,0,410,30,0
"85","burmy",412,"bug","None",40,29,45,29,45,36,"shed-skin","overcoat","","If its cloak is broken in battle, it quickly remakes the cloak with materials nearby.",0,4,0,NA,15,1
"791","wormadam-plant",413,"bug","grass",60,59,85,79,105,36,"anticipation","overcoat","","",NA,NA,NA,NA,NA,NA
"469","mothim",414,"bug","flying",70,94,50,94,50,66,"swarm","tinted-lens","","It flutters around at night and steals honey from the Combee hive.",0,0,0,412,15,0
"130","combee",415,"bug","flying",30,30,42,30,42,70,"honey-gather","hustle","","It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep.",1,1,0,NA,15,0
"759","vespiquen",416,"bug","flying",70,80,102,80,102,40,"pressure","unnerve","","Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by Combee.",0,8,0,415,15,0
"499","pachirisu",417,"electric","None",60,45,70,45,90,95,"run-away","pickup","volt-absorb","A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.",1,4,0,NA,10,0
"81","buizel",418,"water","None",55,65,35,60,30,85,"swift-swim","water-veil","","It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.",1,4,0,NA,20,0
"228","floatzel",419,"water","None",85,105,55,85,50,115,"swift-swim","water-veil","","Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.",1,4,0,418,20,0
"111","cherubi",420,"grass","None",45,35,45,62,53,35,"chlorophyll","","","It evolves by sucking the energy out of the small ball where it had been storing nutrients.",0,4,0,NA,20,0
"110","cherrim",421,"grass","None",70,60,70,87,78,85,"flower-gift","","","If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body.",0,4,0,420,20,1
"630","shellos",422,"water","None",76,48,48,57,62,34,"sticky-hold","storm-drain","sand-force","Its shape and coloration vary, depending on its habitat.",0,4,0,NA,20,0
"252","gastrodon",423,"water","ground",111,83,68,92,82,39,"sticky-hold","storm-drain","sand-force","It apparently had a huge shell for protection in ancient times. It lives in shallow tidal pools.",0,4,0,422,20,0
"20","ambipom",424,"normal","None",75,100,66,60,66,115,"technician","pickup","skill-link","To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.",1,4,0,190,20,0
"180","drifloon",425,"ghost","flying",90,50,34,60,44,70,"aftermath","unburden","flare-boost","These Pokémon are called the “Signpost for Wandering Spirits.” Children holding them sometimes vanish.",0,4,0,NA,30,0
"179","drifblim",426,"ghost","flying",150,80,44,90,54,80,"aftermath","unburden","flare-boost","It’s drowsy in daytime, but flies off in the evening in big groups. No one knows where they go.",0,4,0,425,30,0
"83","buneary",427,"normal","None",55,66,44,44,56,85,"run-away","klutz","limber","When it senses danger, it perks up its ears. On cold nights, it sleeps with its head tucked into its fur.",0,4,0,NA,20,0
"397","lopunny",428,"normal","None",65,76,84,54,96,105,"cute-charm","klutz","limber","The ears appear to be delicate. If they are touched roughly, it kicks with its graceful legs.",0,4,0,427,20,1
"466","mismagius",429,"ghost","None",60,60,60,105,105,105,"levitate","","","Its cries sound like incantations to torment the foe. It appears where you least expect it.",0,4,0,200,25,0
"318","honchkrow",430,"dark","flying",100,125,52,105,52,71,"insomnia","super-luck","moxie","Becoming active at night, it is known to swarm with numerous Murkrow in tow.",0,4,0,198,20,0
"265","glameow",431,"normal","None",49,55,42,42,37,85,"limber","own-tempo","keen-eye","When it’s happy, Glameow demonstrates beautiful movements of its tail, like a dancing ribbon.",0,6,0,NA,20,0
"556","purugly",432,"normal","None",71,82,64,64,59,112,"thick-fat","own-tempo","defiant","To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails.",0,6,0,431,20,0
"118","chingling",433,"psychic","None",45,30,50,65,50,45,"levitate","","","There is an orb inside its mouth. When it hops, the orb bounces all over and makes a ringing sound.",0,4,1,NA,25,0
"688","stunky",434,"poison","dark",63,63,47,41,41,74,"stench","aftermath","keen-eye","It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.",0,4,0,NA,20,0
"649","skuntank",435,"poison","dark",103,93,67,71,61,84,"stench","aftermath","keen-eye","It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.",0,4,0,434,20,0
"79","bronzor",436,"steel","psychic",57,24,86,24,86,23,"levitate","heatproof","heavy-metal","Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.",0,-1,0,NA,20,0
"78","bronzong",437,"steel","psychic",67,89,116,79,116,33,"levitate","heatproof","heavy-metal","Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.",0,-1,0,436,20,0
"73","bonsly",438,"rock","None",50,80,95,10,45,10,"sturdy","rock-head","rattled","It prefers an arid atmosphere. It leaks water that looks like tears when adjusting its moisture level.",0,4,1,NA,20,0
"462","mime-jr",439,"psychic","fairy",20,25,45,70,90,60,"soundproof","filter","technician","It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon.",0,4,1,NA,25,0
"300","happiny",440,"normal","None",100,5,5,15,65,30,"natural-cure","serene-grace","friend-guard","It carefully carries a round, white rock that it thinks is an egg. It’s bothered by how curly its hair looks.",0,8,1,NA,40,0
"109","chatot",441,"normal","flying",76,65,45,92,42,91,"keen-eye","tangled-feet","big-pecks","It can learn and speak human words. If they gather, they all learn the same saying.",0,4,0,NA,20,0
"674","spiritomb",442,"ghost","dark",50,92,108,92,108,35,"pressure","infiltrator","","It was bound to a fissure in an odd keystone as punishment for misdeeds 500 years ago.",0,4,0,NA,30,0
"257","gible",443,"dragon","ground",58,70,45,40,45,42,"sand-veil","rough-skin","","It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close.",1,4,0,NA,40,0
"242","gabite",444,"dragon","ground",68,90,65,50,55,82,"sand-veil","rough-skin","","As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest.",1,4,0,443,40,0
"247","garchomp",445,"dragon","ground",108,130,95,80,85,102,"sand-veil","rough-skin","","It flies at speeds equal to a jet fighter plane. It never allows its prey to escape.",1,4,0,444,40,1
"473","munchlax",446,"normal","None",135,85,40,40,85,5,"pickup","thick-fat","gluttony","It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.",0,1,1,NA,40,0
"582","riolu",447,"fighting","None",40,70,40,35,40,60,"steadfast","inner-focus","prankster","The aura that emanates from its body intensifies to alert others if it is afraid or sad.",0,1,1,NA,25,0
"401","lucario",448,"fighting","steel",70,110,70,115,70,90,"steadfast","inner-focus","justified","By reading the auras of all things, it can tell how others are feeling from over half a mile away.",0,1,0,447,25,1
"312","hippopotas",449,"ground","None",68,72,78,38,42,32,"sand-stream","sand-force","","It enshrouds itself with sand to protect itself from germs. It does not enjoy getting wet.",1,4,0,NA,30,0
"313","hippowdon",450,"ground","None",108,112,118,68,72,47,"sand-stream","sand-force","","It blasts internally stored sand from ports on its body to create a towering twister for attack.",1,4,0,449,30,0
"647","skorupi",451,"poison","bug",40,50,90,30,55,65,"battle-armor","sniper","keen-eye","It burrows under the sand to lie in wait for prey. Its tail claws can inject its prey with a savage poison.",0,4,0,NA,20,0
"177","drapion",452,"poison","dark",70,90,110,60,75,95,"battle-armor","sniper","keen-eye","It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.",0,4,0,451,20,0
"140","croagunk",453,"poison","fighting",48,61,40,61,40,50,"anticipation","dry-skin","poison-touch","Inflating its poison sacs, it fills the area with an odd sound and hits flinching opponents with a poison jab.",1,4,0,NA,10,0
"729","toxicroak",454,"poison","fighting",83,106,65,86,65,85,"anticipation","dry-skin","poison-touch","Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.",1,4,0,453,20,0
"92","carnivine",455,"grass","None",74,100,72,90,72,46,"levitate","","","It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.",0,4,0,NA,25,0
"222","finneon",456,"water","None",49,49,56,49,61,66,"swift-swim","storm-drain","water-veil","After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives.",1,4,0,NA,20,0
"405","lumineon",457,"water","None",69,69,76,69,86,91,"swift-swim","storm-drain","water-veil","To avoid detection by predators, it crawls along the seafloor using the two fins on its chest.",1,4,0,456,20,0
"430","mantyke",458,"water","flying",45,20,50,60,120,50,"swift-swim","water-absorb","water-veil","When it swims close to the surface of the ocean, people aboard ships are able to observe the pattern on its back.",0,4,1,NA,25,0
"665","snover",459,"grass","ice",60,62,50,62,60,40,"snow-warning","soundproof","","In the spring, it grows berries with the texture of frozen treats around its belly.",1,4,0,NA,20,0
"1","abomasnow",460,"grass","ice",90,92,75,92,85,60,"snow-warning","soundproof","","It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.",1,4,0,459,20,1
"778","weavile",461,"dark","ice",70,120,65,45,85,125,"pressure","pickpocket","","They live in cold regions, forming groups of four or five that hunt prey with impressive coordination.",1,4,0,215,20,0
